466515081,"Вес, кг",3.25
466515081,"Тип упаковки","Пластиковый кейс"
466515081,Тип,"Набор ручного инструмента"
466515081,"Количество инструментов в наборе",21
466515081,Материал,Сталь
466515081,Квадрат,"1/2"""
466515081,"Размер головок","10-32 мм"
466515081,"Размеры (Д х Ш х В)","330х240х70 мм"
466520019,"Вес, кг",2.96
466520019,Тип,"Набор ручного инструмента"
466520019,"Количество инструментов в наборе",39
466520019,Состояние,Новое
466520019,Квадрат,"3/8"""
466520019,"Размер головок","8-22 мм"
466520019,"Габаритные размеры","320х240х75 мм"
467643388,"Вес, кг",4.25
467643388,"Тип упаковки","Пластиковый кейс"
467643388,Тип,"Набор ручного инструмента"
467643388,"Количество инструментов в наборе",72
467643388,Состояние,Новое
467650880,"Вес, кг",6.25
467650880,"Тип упаковки","Пластиковый кейс"
467650880,Тип,"Набор ручного инструмента"
467650880,"Количество инструментов в наборе",94
467650880,Состояние,Новое
467665060,"Вес, кг",6.75
467665060,Тип,"Набор ручного инструмента"
467665060,"Количество инструментов в наборе",108
467665060,Состояние,Новое
468025350,"Вес, кг",1.667
468025350,"Зажимное усилие, H*m",210
468025350,"Размер присоединительных головок","1/2"""
473016129,"Вес, кг",0.075
473016129,"Омедненный инструмент",Нет
473016129,"Тип ключа",рожково-накидной
473016129,"Размер max, мм",12
473016129,Состояние,Новое
473016828,"Вес, кг",0.077
473016828,"Омедненный инструмент",Нет
473016828,"Тип ключа",рожково-накидной
473016828,"Размер max, мм",13
473016828,Состояние,Новое
473016913,"Вес, кг",0.1
473016913,"Омедненный инструмент",Нет
473016913,"Тип ключа",рожково-накидной
473016913,"Размер max, мм",14
473016913,Состояние,Новое
473017684,"Вес, кг",0.11
473017684,"Омедненный инструмент",Нет
473017684,"Тип ключа",рожково-накидной
473017684,"Размер max, мм",15
473017684,Состояние,Новое
473018085,"Вес, кг",0.127
473018085,"Омедненный инструмент",Нет
473018085,"Тип ключа",рожково-накидной
473018085,"Размер max, мм",16
473018085,Состояние,Новое
473018307,"Вес, кг",0.079
473018307,"Омедненный инструмент",Нет
473018307,"Тип ключа",рожково-накидной
473018307,"Размер max, мм",17
473018307,Состояние,Новое
473018923,"Омедненный инструмент",Нет
473018923,"Тип ключа",рожково-накидной
473018923,"Размер max, мм",18
473018923,Состояние,Новое
473018923,"Вес, кг",0.16
473019423,"Вес, кг",0.18
473019423,"Омедненный инструмент",Нет
473019423,"Тип ключа",рожково-накидной
473019423,"Размер max, мм",19
473019423,Состояние,Новое
473019987,"Вес, кг",0.23
473019987,"Омедненный инструмент",Нет
473019987,"Тип ключа",рожково-накидной
473019987,"Размер max, мм",20
473019987,Состояние,Новое
473020930,"Вес, кг",0.24
473020930,"Омедненный инструмент",Нет
473020930,"Тип ключа",рожково-накидной
473020930,"Размер max, мм",21
473020930,Состояние,Новое
473021490,"Вес, кг",0.25
473021490,"Омедненный инструмент",Нет
473021490,"Тип ключа",рожково-накидной
473021490,"Размер max, мм",22
473021490,Состояние,Новое
473022147,"Вес, кг",0.281
473022147,"Омедненный инструмент",Нет
473022147,"Тип ключа",рожково-накидной
473022147,"Размер max, мм",24
473022147,Состояние,Новое
473022265,"Вес, кг",0.4
473022265,"Омедненный инструмент",Нет
473022265,"Тип ключа",рожково-накидной
473022265,"Размер max, мм",27
473022265,Состояние,Новое
473023270,"Вес, кг",0.55
473023270,"Омедненный инструмент",Нет
473023270,"Тип ключа",рожково-накидной
473023270,"Размер max, мм",30
473023270,Состояние,Новое
473023524,"Вес, кг",0.65
473023524,"Омедненный инструмент",Нет
473023524,"Тип ключа",рожково-накидной
473023524,"Размер max, мм",32
473023524,Состояние,Новое
473026778,"Омедненный инструмент",Нет
473026778,"Тип ключа",рожково-накидной
473026778,"Набор ключей","ключи комбинированные"
473026778,"Количество ключей в наборе",12
473026778,Состояние,Новое
473026860,"Омедненный инструмент",Нет
473026860,"Тип ключа",рожково-накидной
473026860,"Набор ключей","ключи комбинированные"
473026860,"Количество ключей в наборе",12
473026860,Состояние,Новое
474963522,Материал,Алюминий
474963522,"Тип уровня",Механический
474963522,"Измерительные колбы","1-на колба 180°|1-на колба 90°"
474963522,Состояние,Новое
474963522,"Длина, мм",400
474970032,Материал,Алюминий
474970032,"Тип уровня",Механический
474970032,"Измерительные колбы","1-на колба 180°|1-на колба 90°"
474970032,Состояние,Новое
474970032,"Длина, мм",600
474988329,Материал,Алюминий
474988329,"Тип уровня",Механический
474988329,"Измерительные колбы","1-на колба 180°|1-на колба 90°"
474988329,Состояние,Новое
474988329,"Длина, мм",800
474995348,Материал,Алюминий
474995348,"Тип уровня",Механический
474995348,"Измерительные колбы","1-на колба 180°|1-на колба 90°"
474995348,Состояние,Новое
474995348,"Длина, мм",1000
474998600,Материал,Алюминий
474998600,"Тип уровня",Механический
474998600,"Измерительные колбы","1-на колба 180°|1-на колба 90°"
474998600,Состояние,Новое
474998600,"Длина, мм",1200
475737885,Материал,Алюминий
475737885,"Тип уровня",Механический
475737885,"Измерительные колбы","1-на колба 180°|1-на колба 90°"
475737885,Состояние,Новое
475737885,"Длина, мм",800
475760782,"Тип инструмента","набор торцевых головок"
475760782,Квадрат,"1/2"""
475760782,"Количество в наборе, шт",8
475760782,"Омедненный инструмент",Нет
475760782,Состояние,Новое
475765486,"Тип инструмента","набор торцевых головок"
475765486,"Количество в наборе, шт",10
475765486,"Омедненный инструмент",Нет
475765486,Квадрат,"1/2"""
475765486,Состояние,Новое
475769905,"Тип инструмента","набор торцевых головок"
475769905,"Количество в наборе, шт",10
475769905,"Омедненный инструмент",Нет
475769905,Квадрат,"1/2"""
475769905,Состояние,Новое
476056278,"Вес, кг",1.3
476056278,"Тип упаковки","Пластиковый кейс"
476056278,Тип,"Набор ручного инструмента"
476056278,"Количество инструментов в наборе",36
476056278,Состояние,Новое
476099429,"Вес, кг",0.95
476099429,"Тип упаковки","Пластиковый кейс"
476099429,Тип,"Набор ручного инструмента"
476099429,"Количество инструментов в наборе",46
476099429,Состояние,Новое
476144308,"Тип упаковки","Пластиковый кейс"
476144308,Тип,"Набор ручного инструмента"
476144308,Состояние,Новое
476144308,"Количество инструментов в наборе",82
476144308,"Вес, кг",6.45
476144308,"Материал изготовления","Хром-ванадиевая сталь"
476144308,Квадрат,"1/2""; 1/4"""
476144308,"Размер головок","4-32 мм"
476144308,"Размер рожково-накидных ключей","8-22 мм"
476156621,"Вес, кг",6.933
476156621,"Тип упаковки","Пластиковый кейс"
476156621,Тип,"Набор ручного инструмента"
476156621,"Количество инструментов в наборе",108
476156621,Состояние,Новое
476156621,"Материал изготовления","Cr-V сталь"
476156621,Размер,"370×260×80 мм"
476156621,Квадрат,"1/2""; 1/4"""
476156621,Головки,"Шестигранные, TORX, удлиненные, головки с насадками"
476156621,"Размер головок","4-32 мм"
476423872,"Вес, кг",6.275
476423872,"Тип упаковки","Пластиковый кейс"
476423872,Тип,"Набор ручного инструмента"
476423872,"Количество инструментов в наборе",94
476423872,Состояние,Новое
489839748,"Вес, кг",0.6
489839748,"Емкость бака распылителя, л",0.6
489839748,"Диаметр сопла, мм",1.5
489839748,"Рабочее давление, бар",5
489839748,"Расход воздуха, литр/мин",130
489839748,"Внутренний диаметр шланга, мм",6
489839748,Состояние,Новое
489839748,"Расположение бачка",Верхнее
489841095,"Вес, кг",0.615
489841095,"Емкость бака распылителя, л",0.6
489841095,"Диаметр сопла, мм",1.5
489841095,"Рабочее давление, бар",5
489841095,"Расход воздуха, литр/мин",130
489841095,"Внутренний диаметр шланга, мм",6
489841095,Состояние,Новое
489841363,"Вес, кг",1
489841363,"Емкость бака распылителя, л",0.6
489841363,"Диаметр сопла, мм",1.5
489841363,"Рабочее давление, бар",5
489841363,"Расход воздуха, литр/мин",130
489841363,"Внутренний диаметр шланга, мм",6
489841363,Состояние,Новое
489842321,"Вес, кг",0.44
489842321,"Емкость бака распылителя, л",0.125
489842321,"Диаметр сопла, мм",0.8
489842321,"Рабочее давление, бар",3
489842321,"Расход воздуха, литр/мин",230
489842321,"Внутренний диаметр шланга, мм",6
489842321,Состояние,Новое
489846299,"Вес, кг",1.25
489846299,"Емкость бака распылителя, л",0.6
489846299,"Диаметр сопла, мм",1.5
489846299,"Рабочее давление, бар",3
489846299,"Расход воздуха, литр/мин",230
489846299,"Внутренний диаметр шланга, мм",6
489846299,Состояние,Новое
489858064,"Вес, кг",1.667
489858064,Состояние,Новое
489858064,Тип,Ручной
489859327,"Вес, г",31
489859327,"Тип стеклореза",Роликовый
489859327,"Конструкция стеклореза",Стеклорез-ручка
489859327,Состояние,Новое
489860881,"Вес, г",54
489860881,"Тип стеклореза",Масляный
489860881,"Конструкция стеклореза",Стеклорез-ручка
489860881,Состояние,Новое
489943116,"Вес, кг",0.583
489943116,Тип,F-образная
489943116,Механизм,Автомат
489943116,"Ширина зажима, мм",200
489943116,"Выступ, мм",60
489943116,Состояние,Новое
489946231,"Вес, кг",0.41
489946231,Тип,F-образная
489946231,Механизм,Винтовой
489946231,"Ширина зажима, мм",250
489946231,"Выступ, мм",60
489946231,Состояние,Новое
489946231,"Материал струбцины",Металл|Дерево
489947119,"Вес, кг",0.726
489947119,Тип,F-образная
489947119,Механизм,Винтовой
489947119,"Ширина зажима, мм",300
489947119,"Выступ, мм",80
489947119,Состояние,Новое
489947119,"Материал струбцины",Металл|Дерево
489948997,"Вес, г",0.185
489948997,"Тип инструмента",Угольник
489948997,Материал,Алюминий
489948997,Состояние,Новое
489950566,"Вес, г",0.205
489950566,"Тип инструмента",Угольник
489950566,Материал,Алюминий
489950566,"Измерительная шкала",Метрическая
489950566,Состояние,Новое
489952990,"Вес, г",0.225
489952990,"Тип инструмента",Угольник
489952990,Материал,Алюминий
489952990,"Измерительная шкала",Метрическая
489952990,Состояние,Новое
489955158,"Вес, г",0.245
489955158,"Тип инструмента",Угольник
489955158,Материал,Алюминий
489955158,"Измерительная шкала",Метрическая
489955158,Состояние,Новое
489958664,"Вес, г",0.285
489958664,"Тип инструмента",Угольник
489958664,Материал,Алюминий
489958664,"Измерительная шкала",Метрическая
489958664,Состояние,Новое
489963138,"Вес, г",0.375
489963138,"Тип инструмента",Угольник
489963138,Материал,Сталь
489963138,"Измерительная шкала",Метрическая
489963138,Состояние,Новое
493069237,"Вес, кг",5.867
493069237,"Тип упаковки","Пластиковый кейс"
493069237,Тип,"Набор ручного инструмента"
493069237,"Набор ручного инструмента","набор автомобильного инструмента"
493069237,"Количество инструментов в наборе",77
493069237,Состояние,Новое
493090966,"Вес, кг",0.525
493090966,"Материал ручки",пластмасса
493090966,"Прорезиненная рукоятка",Нет
493090966,"Размеры вытяжных заклепок","4.0 мм|3.2 мм|4.8 мм"
493090966,Состояние,Новое
493090966,"Тип головы",Неповоротная
493100343,"Вес, кг",2.1
493100343,"Длина инструмента, мм",800
493100343,"Материал ручки",пластмасса
493100343,"Прорезиненная рукоятка",Нет
493100343,"Тип инструмента","Заклепочник для вытяжных заклепок"
493100343,"Размеры вытяжных заклепок","4.0 мм|3.2 мм|4.8 мм"
493100343,Состояние,Новое
493100343,"Тип головы",Неповоротная
493101866,"Вес, кг",1.15
493101866,"Длина инструмента, мм",420
493101866,"Материал ручки",пластмасса
493101866,"Прорезиненная рукоятка",Нет
493101866,"Тип инструмента","Заклепочник для вытяжных заклепок"
493101866,"Размеры вытяжных заклепок","4.0 мм|3.2 мм|4.8 мм"
493101866,Состояние,Новое
493101866,"Тип головы",Неповоротная
493102492,"Вес, кг",0.55
493102492,"Материал ручки",пластмасса
493102492,"Прорезиненная рукоятка",Нет
493102492,"Тип инструмента","Заклепочник для вытяжных заклепок"
493102492,"Размеры вытяжных заклепок","4.0 мм|3.2 мм|4.8 мм"
493102492,Состояние,Новое
493102492,"Тип головы",Неповоротная
493176683,"Вес, кг",0.583
493176683,"Материал ручки",пластмасса
493176683,"Прорезиненная рукоятка",Нет
493176683,"Тип инструмента","Заклепочник для вытяжных заклепок"
493176683,"Размеры вытяжных заклепок","4.0 мм|3.2 мм|4.8 мм"
493176683,Состояние,Новое
493176683,"Тип головы",Неповоротная
493282997,"Вес, кг",0.583
493282997,"Крепежное средство",Скобы
493282997,"Ширина скобы, мм",11.3
493282997,Тип,Рычажный
493282997,Состояние,Новое
493282997,"Минимальная длина скобы, мм",4
493282997,"Максимальная длина скобы, мм",14
493282997,Питание,"Ручное нажатие"
493282997,"Сечение скобы (мм)",0.7
493282997,"Материал рукоятки",Резина
494360556,"Вес, кг",0.361
494360556,"Тип молотка",слесарный
494360556,"Материал ударного бойка",сталь
494360556,Тип,Молоток
494360556,"Омедненный инструмент",Нет
494360556,Состояние,Новое
494362929,"Вес, кг",0.492
494362929,"Тип молотка",слесарный
494362929,"Материал ударного бойка",сталь
494362929,Тип,Молоток
494362929,"Омедненный инструмент",Нет
494362929,Состояние,Новое
494363509,"Вес, кг",0.747
494363509,"Тип молотка",слесарный
494363509,"Материал ударного бойка",сталь
494363509,Тип,Молоток
494363509,"Омедненный инструмент",Нет
494363509,Состояние,Новое
494365831,"Вес, кг",1.104
494365831,"Тип молотка",слесарный
494365831,"Материал ударного бойка",сталь
494365831,Тип,Молоток
494365831,"Омедненный инструмент",Нет
494365831,Состояние,Новое
494368295,Тип,Молоток
494368295,"Тип молотка",слесарный
494368295,"Материал ударного бойка",сталь
494368295,"Вес, кг",1.308
494368295,"Омедненный инструмент",Нет
494368295,Состояние,Новое
498038676,"Грузоподъемность, кг",1000
498038676,"Высота подъема, м",3
498038676,"Тип оборудования",Таль
498038676,Состояние,Новое
498039414,"Грузоподъемность, кг",2000
498039414,"Высота подъема, м",3
498039414,"Тип оборудования",Таль
498039414,Состояние,Новое
498744856,"Тип инструмента","торцевая головка"
498744856,"Омедненный инструмент",Нет
498744856,Квадрат,"1/4"""
498744856,Состояние,Новое
498744923,"Тип инструмента","торцевая головка"
498744923,"Омедненный инструмент",Нет
498744923,Квадрат,"1/4"""
498744923,Состояние,Новое
498744929,"Тип инструмента","торцевая головка"
498744929,"Омедненный инструмент",Нет
498744929,Квадрат,"1/4"""
498744929,Состояние,Новое
498744977,"Тип инструмента","торцевая головка"
498744977,"Омедненный инструмент",Нет
498744977,Квадрат,"1/4"""
498744977,Состояние,Новое
498745003,"Тип инструмента","торцевая головка"
498745003,"Омедненный инструмент",Нет
498745003,Квадрат,"1/4"""
498745003,Состояние,Новое
498745021,"Тип инструмента","торцевая головка"
498745021,"Омедненный инструмент",Нет
498745021,Квадрат,"1/4"""
498745021,Состояние,Новое
498745037,"Тип инструмента","торцевая головка"
498745037,"Омедненный инструмент",Нет
498745037,Квадрат,"1/4"""
498745037,Состояние,Новое
498745074,"Тип инструмента","торцевая головка"
498745074,"Омедненный инструмент",Нет
498745074,Квадрат,"1/4"""
498745074,Состояние,Новое
498745108,"Тип инструмента","торцевая головка"
498745108,"Омедненный инструмент",Нет
498745108,Квадрат,"1/4"""
498745108,Состояние,Новое
498745168,"Тип инструмента","торцевая головка"
498745168,"Омедненный инструмент",Нет
498745168,Квадрат,"1/4"""
498745168,Состояние,Новое
498745253,"Тип инструмента","торцевая головка"
498745253,"Омедненный инструмент",Нет
498745253,Квадрат,"1/4"""
498745253,Состояние,Новое
498745294,"Тип инструмента","торцевая головка"
498745294,"Омедненный инструмент",Нет
498745294,Квадрат,"1/4"""
498745294,Состояние,Новое
498745380,"Тип инструмента","торцевая головка"
498745380,"Омедненный инструмент",Нет
498745380,Квадрат,"1/4"""
498745380,Состояние,Новое
499073490,"Тип инструмента","торцевая головка"
499073490,"Омедненный инструмент",Нет
499073490,Квадрат,"3/8"""
499073490,Состояние,Новое
499074398,"Тип инструмента","торцевая головка"
499074398,"Омедненный инструмент",Нет
499074398,Квадрат,"3/8"""
499074398,Состояние,Новое
499078152,"Тип инструмента","торцевая головка"
499078152,"Омедненный инструмент",Нет
499078152,Квадрат,"3/8"""
499078152,Состояние,Новое
499078211,"Тип инструмента","торцевая головка"
499078211,"Омедненный инструмент",Нет
499078211,Квадрат,"3/8"""
499078211,Состояние,Новое
499078605,"Тип инструмента","торцевая головка"
499078605,"Омедненный инструмент",Нет
499078605,Квадрат,"3/8"""
499078605,Состояние,Новое
499079149,"Тип инструмента","торцевая головка"
499079149,"Омедненный инструмент",Нет
499079149,Квадрат,"3/8"""
499079149,Состояние,Новое
499079819,"Тип инструмента","торцевая головка"
499079819,"Омедненный инструмент",Нет
499079819,Квадрат,"3/8"""
499079819,Состояние,Новое
499080566,"Тип инструмента","торцевая головка"
499080566,"Омедненный инструмент",Нет
499080566,Квадрат,"3/8"""
499080566,Состояние,Новое
499083968,"Тип инструмента","торцевая головка"
499083968,"Омедненный инструмент",Нет
499083968,Квадрат,"3/8"""
499083968,Состояние,Новое
499089628,"Тип инструмента","торцевая головка"
499089628,"Омедненный инструмент",Нет
499089628,Квадрат,"3/8"""
499089628,Состояние,Новое
499089979,"Тип инструмента","торцевая головка"
499089979,"Омедненный инструмент",Нет
499089979,Квадрат,"3/8"""
499089979,Состояние,Новое
499090528,"Тип инструмента","торцевая головка"
499090528,"Омедненный инструмент",Нет
499090528,Квадрат,"3/8"""
499090528,Состояние,Новое
499090651,"Тип инструмента","торцевая головка"
499090651,"Омедненный инструмент",Нет
499090651,Квадрат,"3/8"""
499090651,Состояние,Новое
499090701,"Тип инструмента","торцевая головка"
499090701,"Омедненный инструмент",Нет
499090701,Квадрат,"3/8"""
499090701,Состояние,Новое
499090745,"Тип инструмента","торцевая головка"
499090745,"Омедненный инструмент",Нет
499090745,Квадрат,"3/8"""
499090745,Состояние,Новое
499090786,"Тип инструмента","торцевая головка"
499090786,"Омедненный инструмент",Нет
499090786,Квадрат,"3/8"""
499090786,Состояние,Новое
499090864,"Тип инструмента","торцевая головка"
499090864,"Омедненный инструмент",Нет
499090864,Квадрат,"3/8"""
499090864,Состояние,Новое
499090891,"Тип инструмента","торцевая головка"
499090891,"Омедненный инструмент",Нет
499090891,Квадрат,"3/8"""
499090891,Состояние,Новое
499090928,"Тип инструмента","торцевая головка"
499090928,"Омедненный инструмент",Нет
499090928,Квадрат,"3/8"""
499090928,Состояние,Новое
499091031,"Тип инструмента","торцевая головка"
499091031,"Омедненный инструмент",Нет
499091031,Квадрат,"3/8"""
499091031,Состояние,Новое
499091095,"Тип инструмента","торцевая головка"
499091095,"Омедненный инструмент",Нет
499091095,Квадрат,"3/8"""
499091095,Состояние,Новое
499091132,"Тип инструмента","торцевая головка"
499091132,"Омедненный инструмент",Нет
499091132,Квадрат,"3/8"""
499091132,Состояние,Новое
499091154,"Тип инструмента","торцевая головка"
499091154,"Омедненный инструмент",Нет
499091154,Квадрат,"3/8"""
499091154,Состояние,Новое
499091483,"Тип инструмента","торцевая головка"
499091483,"Омедненный инструмент",Нет
499091483,Квадрат,"3/8"""
499091483,Состояние,Новое
499093852,"Тип инструмента","торцевая головка"
499093852,"Омедненный инструмент",Нет
499093852,Квадрат,"1/2"""
499093852,Состояние,Новое
499094201,"Тип инструмента","торцевая головка"
499094201,"Омедненный инструмент",Нет
499094201,Квадрат,"1/2"""
499094201,Состояние,Новое
499094234,"Тип инструмента","торцевая головка"
499094234,"Омедненный инструмент",Нет
499094234,Квадрат,"1/2"""
499094234,Состояние,Новое
499094310,"Тип инструмента","торцевая головка"
499094310,"Омедненный инструмент",Нет
499094310,Квадрат,"1/2"""
499094310,Состояние,Новое
499094515,"Тип инструмента","торцевая головка"
499094515,"Омедненный инструмент",Нет
499094515,Квадрат,"1/2"""
499094515,Состояние,Новое
499094677,"Тип инструмента","торцевая головка"
499094677,"Омедненный инструмент",Нет
499094677,Квадрат,"1/2"""
499094677,Состояние,Новое
499094732,"Тип инструмента","торцевая головка"
499094732,"Омедненный инструмент",Нет
499094732,Квадрат,"1/2"""
499094732,Состояние,Новое
499094770,"Тип инструмента","торцевая головка"
499094770,"Омедненный инструмент",Нет
499094770,Квадрат,"1/2"""
499094770,Состояние,Новое
499094852,"Тип инструмента","торцевая головка"
499094852,"Омедненный инструмент",Нет
499094852,Квадрат,"1/2"""
499094852,Состояние,Новое
499094876,"Тип инструмента","торцевая головка"
499094876,"Омедненный инструмент",Нет
499094876,Квадрат,"1/2"""
499094876,Состояние,Новое
499094924,"Тип инструмента","торцевая головка"
499094924,"Омедненный инструмент",Нет
499094924,Квадрат,"1/2"""
499094924,Состояние,Новое
499094956,"Тип инструмента","торцевая головка"
499094956,"Омедненный инструмент",Нет
499094956,Квадрат,"1/2"""
499094956,Состояние,Новое
499094982,"Тип инструмента","торцевая головка"
499094982,"Омедненный инструмент",Нет
499094982,Квадрат,"1/2"""
499094982,Состояние,Новое
499095002,"Тип инструмента","торцевая головка"
499095002,"Омедненный инструмент",Нет
499095002,Квадрат,"1/2"""
499095002,Состояние,Новое
499095075,"Тип инструмента","торцевая головка"
499095075,"Омедненный инструмент",Нет
499095075,Квадрат,"1/2"""
499095075,Состояние,Новое
499095164,"Тип инструмента","торцевая головка"
499095164,"Омедненный инструмент",Нет
499095164,Квадрат,"1/2"""
499095164,Состояние,Новое
499095258,"Тип инструмента","торцевая головка"
499095258,"Омедненный инструмент",Нет
499095258,Квадрат,"1/2"""
499095258,Состояние,Новое
499095311,"Тип инструмента","торцевая головка"
499095311,"Омедненный инструмент",Нет
499095311,Квадрат,"1/2"""
499095311,Состояние,Новое
499095376,"Тип инструмента","торцевая головка"
499095376,"Омедненный инструмент",Нет
499095376,Квадрат,"1/2"""
499095376,Состояние,Новое
499095421,"Тип инструмента","торцевая головка"
499095421,"Омедненный инструмент",Нет
499095421,Квадрат,"1/2"""
499095421,Состояние,Новое
499095445,"Тип инструмента","торцевая головка"
499095445,"Омедненный инструмент",Нет
499095445,Квадрат,"1/2"""
499095445,Состояние,Новое
499095492,"Тип инструмента","торцевая головка"
499095492,"Омедненный инструмент",Нет
499095492,Квадрат,"1/2"""
499095492,Состояние,Новое
499095531,"Тип инструмента","торцевая головка"
499095531,"Омедненный инструмент",Нет
499095531,Квадрат,"1/2"""
499095531,Состояние,Новое
499095658,"Тип инструмента","торцевая головка"
499095658,"Омедненный инструмент",Нет
499095658,Квадрат,"1/2"""
499095658,Состояние,Новое
499095724,"Тип инструмента","торцевая головка"
499095724,"Омедненный инструмент",Нет
499095724,Квадрат,"1/2"""
499095724,Состояние,Новое
503019313,"Вес, кг",0.275
503019313,Тип,Угловая
503019313,Механизм,Винтовой
503019313,"Ширина зажима, мм",75
503019313,Состояние,Новое
503019313,"Материал струбцины",Алюминий
503019313,Глубина,"15 мм"
504498534,"Вес, г",0.158
504498534,"Материал ручки",пластмасса
504498534,"Материал рабочей части","Нержавеющая сталь"
504498534,"Тип измерительной рулетки","Механическая рулетка"
504498534,"Шкала измерений","Метрическая система (м, см, мм)"
504498534,"Длина полотна, м",3
504498534,"Ширина полотна, мм",16
504498534,Состояние,Новое
504501751,"Вес, г",0.165
504501751,"Материал ручки",пластмасса
504501751,"Материал рабочей части","Нержавеющая сталь"
504501751,"Тип измерительной рулетки","Механическая рулетка"
504501751,"Шкала измерений","Метрическая система (м, см, мм)"
504501751,"Длина полотна, м",5
504501751,"Ширина полотна, мм",19
504501751,Состояние,Новое
504504134,"Вес, г",0.35
504504134,"Материал ручки",пластмасса
504504134,"Материал рабочей части","Нержавеющая сталь"
504504134,"Тип измерительной рулетки","Механическая рулетка"
504504134,"Шкала измерений","Метрическая система (м, см, мм)"
504504134,"Длина полотна, м",8
504504134,"Ширина полотна, мм",25
504504134,Состояние,Новое
504506031,"Вес, г",0.694
504506031,"Материал ручки",пластмасса
504506031,"Материал рабочей части","Нержавеющая сталь"
504506031,"Тип измерительной рулетки","Механическая рулетка"
504506031,"Шкала измерений","Метрическая система (м, см, мм)"
504506031,"Длина полотна, м",10
504506031,"Ширина полотна, мм",25
504506031,Состояние,Новое
504516710,"Вес, г",0.069
504516710,"Длина инструмента, мм",100
504516710,"Тип отвертки",Крестообразный
504516710,"Маркировка наконечника","PH 1"
504516710,"Омедненный инструмент",Нет
504516710,"Наличие индикатора",Нет
504516710,Состояние,Новое
504516710,Тип,"Отвертки крестовые"
504517380,"Вес, г",0.072
504517380,"Длина инструмента, мм",125
504517380,"Тип отвертки",Крестообразный
504517380,"Маркировка наконечника","PH 1"
504517380,"Омедненный инструмент",Нет
504517380,"Наличие индикатора",Нет
504517380,Состояние,Новое
504517380,Тип,"Отвертки крестовые"
504517671,"Вес, г",0.078
504517671,"Длина инструмента, мм",150
504517671,"Тип отвертки",Крестообразный
504517671,"Маркировка наконечника","PH 1"
504517671,"Омедненный инструмент",Нет
504517671,"Наличие индикатора",Нет
504517671,Состояние,Новое
504517671,Тип,"Отвертки крестовые"
504517788,"Вес, г",0.086
504517788,"Длина инструмента, мм",200
504517788,"Тип отвертки",Крестообразный
504517788,"Маркировка наконечника","PH 1"
504517788,"Омедненный инструмент",Нет
504517788,"Наличие индикатора",Нет
504517788,Состояние,Новое
504517788,Тип,"Отвертки крестовые"
504517893,"Вес, г",0.094
504517893,"Длина инструмента, мм",250
504517893,"Тип отвертки",Крестообразный
504517893,"Маркировка наконечника","PH 1"
504517893,"Омедненный инструмент",Нет
504517893,"Наличие индикатора",Нет
504517893,Состояние,Новое
504517893,Тип,"Отвертки крестовые"
504518093,"Вес, г",0.103
504518093,"Длина инструмента, мм",300
504518093,"Тип отвертки",Крестообразный
504518093,"Маркировка наконечника","PH 1"
504518093,"Омедненный инструмент",Нет
504518093,"Наличие индикатора",Нет
504518093,Состояние,Новое
504518093,Тип,"Отвертки крестовые"
504518665,Состояние,Новое
504518665,"Тип отвертки",Крестообразный
504518665,"Маркировка наконечника","PH 2"
